order_id,items
248,"5601,1843,8585,13091,10984,13432,2590,3474,12481,539,2329"
249,"2890,2167,1826,1406,5476,17887,1255,2957,295"
250,"13797,2406,11383,62"
251,"6181,2669,20280,18430,17534,1884,2598,5024,6249,4,6935,14750,4035,1000,971,657,4358,9767,29307,12385,5205,2349,5517,2271,2727,3738,2547,5446,3910,1431,904,3950"
252,"1622,7519,2247,29171,1615,5647,8121,17372,1215,7601,1348,20220,8,13008,1759,4499,18373,5209,5102,5451,4815,5959,4532,18812,9397,7867,5894,847,6056,2777,626,5142,1211,3377,20838"
253,1604
254,6
255,1195
256,854
257,"3242,4222,1240,9435"
258,29221
259,"3310,27837,2964,3629,2760,18050,2796,2022,19140,1355,3824,4285"
260,3903
261,"4287,8383,4598,1905,2847,5983"
262,21714
263,8101
264,2141
265,3402
266,19502
267,19468
268,"17308,1123,5024,537"
269,"577,9475,13969,20751,1253,4488,29309,413,21288,590,9126,5806,7363,13006,28777,29355,17628,12331,3540,8585,19976,9576,5003,7498,723,1048,7495,17388,7055,5912,4135,18619,16342,1190,16652,723,27043,19697,13153"
270,"7230,5119,1251,976,1560"
271,"4921,614,9564"
272,21801
273,"4500,1627,4429,422,2019,20723,7031,7247,4244,5636"
274,1024
275,2631
276,8796
277,8879
278,"9733,17302,3313,10896,7508,1079,10812,5421,6573"
279,"5990,698,1888,2529"
280,2069
281,9054
282,19610
283,"5314,9430,3401,20993,10187,4158,27392,8356,13174,5232"
284,7612
285,"18152,20549,18185,664,4197,17366,1800,20549,18669,4389,4831,577,9287,1789,5444"
286,4732
287,5842
288,"118,1754,5830"
289,10634
290,"12012,10857"
291,2762
292,"5117,983,278,4265,20580,4631,3422,4597,18460,19418,10803,2389,4941,3771,2105,2620,1261,11303,18837,8090,18964,123,2808,19123,1009,27398,12261,226,1431,28767,4250,6800,7548"
293,"5598,28841,7302"
294,28606
295,"7422,13028"
296,"6651,28870,19868,17435,422"
297,"9782,8359,9674,3927,17419,720,4342,429,4636,516"
298,6092
299,8794
300,"5232,5446,6211,6184,709,9282,27416,11164,3738,5724,6173,13972,3459,5327,3121,6181,18849,5295,19764,4346,5117"
301,"8249,1972,5248"
302,"1052,4104,5497,1921,19836,9453,11746"
303,8245
304,1826
305,3401
306,27437
307,19597
308,18380
309,28842
310,7612
311,7334
312,9908
313,"1880,2233,3162"
314,"2816,167,1496,3073,21931,18445,7923,7825,680,7346,20863,8210"
315,10183
316,7519
317,7963
318,1394
319,1639
320,"1991,5952,4548,1950,1029,27,10746,11539,10899,723,8256,13535,20188"
321,1567
322,"17542,2457,9703,601,21365"
323,"17617,13970,125,11994,614,1783,2590,9689,9901"
324,1794
325,3354
326,"562,2206,4378,5228,5068,14012"
327,"21909,11934,2796,770,17729,1042,4835,20250,12916,1300,5228,954,13963"
328,6102
329,7073
330,"20139,7637"
331,"3375,7381,18202,3840,2457,5770,3350,18729,2995,554,397"
332,"18380,9940,5175,4999,13838"
333,"8035,7977"
334,10009
335,"5102,4599,27033,14097,18442,4922,4007,1789,4438,9906,7111,919,7651,624,2296,9468,3382,7704,5258,19384,14507,19916,7822,3267,14010,5003,350,680,3999,10893,11085,4661,2778"
336,7491
337,1054
338,"4328,14096,17729"
339,"2796,976,17297,4066,3354,958,11917,4958,9585,19240,4883,28836,1565,9494,9134,5357,2157"
340,12305
